Date;Liabilities/Debt,%;Age;Type_of_accommodation;Duration_of_stay_in_the_region;Family_status;Borrower class;Education;Work_experience_in_last_place;Job_level;Credit_history
19.03.2018;21;38;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
19.03.2018;41;53;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
19.03.2018;25;33;Собственник;свыше 5 лет;Холост/Не замужем;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
19.03.2018;19;38;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
19.03.2018;53;26;Муниципальное жилье;свыше 5 лет;Женат/замужем;плохой;высшее;от 1 года до 3 лет;сотрудник;положительная
19.03.2018;17;47;Собственник;менее 1 года;Холост/Не замужем;плохой;среднее;менее 1 года;сотрудник;нет данных
19.03.2018;39;36;Собственник;от 1 до 5 лет;Другое;хороший;среднее;свыше 3 лет;сотрудник;положительная
20.03.2018;50;45;Муниципальное жилье;свыше 5 лет;Холост/Не замужем;плохой;среднее;от 1 года до 3 лет;руководитель среднего звена;отрицательная
20.03.2018;42;34;Собственник;менее 1 года;Женат/замужем;плохой;среднее;менее 1 года;сотрудник;нет данных
20.03.2018;35;24;Аренда;от 1 до 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
20.03.2018;34;38;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;нет данных
20.03.2018;30;29;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;руководитель высшего звена;положительная
20.03.2018;48;39;Муниципальное жилье;менее 1 года;Холост/Не замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
20.03.2018;34;40;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;нет данных
20.03.2018;21;31;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
20.03.2018;28;52;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
20.03.2018;14;42;Собственник;от 1 до 5 лет;Другое;хороший;высшее;свыше 3 лет;сотрудник;нет данных
20.03.2018;11;37;Собственник;от 1 до 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
20.03.2018;27;24;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;среднее;свыше 3 лет;сотрудник;нет данных
20.03.2018;55;36;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;положительная
20.03.2018;31;34;Аренда;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
20.03.2018;18;39;Аренда;менее 1 года;Другое;плохой;среднее;свыше 3 лет;руководитель среднего звена;нет данных
20.03.2018;24;41;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
20.03.2018;11;36;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;положительная
20.03.2018;44;35;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
20.03.2018;34;31;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
20.03.2018;35;34;Аренда;свыше 5 лет;Женат/замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
20.03.2018;25;51;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
20.03.2018;20;31;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
20.03.2018;34;36;Собственник;от 1 до 5 лет;Другое;хороший;высшее;свыше 3 лет;руководитель среднего звена;нет данных
20.03.2018;11;31;Аренда;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
20.03.2018;29;39;Собственник;свыше 5 лет;Разведен(а)/Вдовство;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;положительная
20.03.2018;20;27;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
20.03.2018;13;27;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
20.03.2018;25;22;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;нет данных
20.03.2018;44;53;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
20.03.2018;18;29;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
20.03.2018;14;26;Аренда;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
20.03.2018;15;49;Аренда;от 1 до 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
20.03.2018;11;40;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
20.03.2018;38;31;Собственник;менее 1 года;Женат/замужем;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
20.03.2018;27;29;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель высшего звена;положительная
21.03.2018;19;28;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;отрицательная
21.03.2018;22;32;Аренда;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;положительная
21.03.2018;32;31;Собственник;менее 1 года;Разведен(а)/Вдовство;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
21.03.2018;54;27;Собственник;свыше 5 лет;Другое;плохой;среднее;менее 1 года;руководитель среднего звена;нет данных
21.03.2018;37;22;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;положительная
21.03.2018;19;39;Аренда;от 1 до 5 лет;Холост/Не замужем;хороший;среднее;свыше 3 лет;сотрудник;положительная
21.03.2018;20;49;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
21.03.2018;50;26;Муниципальное жилье;свыше 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;руководитель среднего звена;нет данных
21.03.2018;28;31;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель высшего звена;положительная
21.03.2018;17;35;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
21.03.2018;32;24;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
21.03.2018;35;47;Муниципальное жилье;от 1 до 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
21.03.2018;31;32;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
21.03.2018;43;44;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;положительная
21.03.2018;21;30;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
21.03.2018;31;38;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;отрицательная
21.03.2018;17;39;Муниципальное жилье;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
21.03.2018;32;32;Аренда;от 1 до 5 лет;Другое;хороший;среднее специальное;менее 1 года;сотрудник;положительная
21.03.2018;33;57;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;нет данных
21.03.2018;31;29;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;свыше 3 лет;руководитель среднего звена;нет данных
21.03.2018;39;34;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
21.03.2018;36;37;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
21.03.2018;51;40;Собственник;свыше 5 лет;Другое;хороший;среднее;от 1 года до 3 лет;сотрудник;нет данных
21.03.2018;23;37;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;нет данных
21.03.2018;43;40;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;отрицательная
21.03.2018;29;40;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
21.03.2018;27;42;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;нет данных
21.03.2018;18;33;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;отрицательная
21.03.2018;34;31;Аренда;менее 1 года;Женат/замужем;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
21.03.2018;30;29;Собственник;менее 1 года;Другое;плохой;высшее;менее 1 года;сотрудник;отрицательная
21.03.2018;44;38;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;нет данных
22.03.2018;13;47;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;отрицательная
22.03.2018;25;39;Аренда;менее 1 года;Разведен(а)/Вдовство;плохой;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
22.03.2018;38;43;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;положительная
22.03.2018;32;31;Муниципальное жилье;от 1 до 5 лет;Другое;плохой;среднее;менее 1 года;сотрудник;отрицательная
22.03.2018;27;40;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
22.03.2018;26;45;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
22.03.2018;27;29;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;положительная
22.03.2018;11;38;Аренда;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
22.03.2018;12;25;Аренда;от 1 до 5 лет;Разведен(а)/Вдовство;плохой;среднее специальное;свыше 3 лет;руководитель среднего звена;отрицательная
22.03.2018;14;34;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее;менее 1 года;сотрудник;нет данных
22.03.2018;49;39;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
22.03.2018;29;22;Собственник;от 1 до 5 лет;Другое;хороший;среднее;свыше 3 лет;сотрудник;положительная
22.03.2018;12;23;Муниципальное жилье;от 1 до 5 лет;Другое;хороший;среднее;менее 1 года;сотрудник;нет данных
22.03.2018;25;33;Аренда;менее 1 года;Разведен(а)/Вдовство;хороший;высшее;менее 1 года;руководитель среднего звена;положительная
22.03.2018;48;44;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
22.03.2018;37;33;Собственник;менее 1 года;Другое;хороший;высшее;свыше 3 лет;сотрудник;нет данных
22.03.2018;14;22;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;положительная
22.03.2018;36;34;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;положительная
22.03.2018;31;45;Собственник;свыше 5 лет;Холост/Не замужем;плохой;среднее;от 1 года до 3 лет;сотрудник;отрицательная
22.03.2018;18;39;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
22.03.2018;31;25;Аренда;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель высшего звена;нет данных
22.03.2018;21;45;Собственник;менее 1 года;Женат/замужем;хороший;среднее;свыше 3 лет;руководитель среднего звена;нет данных
22.03.2018;27;32;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
22.03.2018;51;46;Собственник;свыше 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;положительная
22.03.2018;35;44;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
22.03.2018;47;24;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;нет данных
22.03.2018;33;22;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
22.03.2018;18;34;Аренда;свыше 5 лет;Женат/замужем;хороший;высшее;менее 1 года;сотрудник;отрицательная
22.03.2018;39;35;Собственник;от 1 до 5 лет;Другое;хороший;высшее;менее 1 года;сотрудник;положительная
22.03.2018;39;57;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;плохой;среднее;от 1 года до 3 лет;сотрудник;нет данных
22.03.2018;21;53;Собственник;свыше 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;менее 1 года;сотрудник;положительная
22.03.2018;28;43;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
22.03.2018;19;38;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;среднее;менее 1 года;сотрудник;положительная
22.03.2018;25;35;Аренда;менее 1 года;Женат/замужем;плохой;среднее;менее 1 года;сотрудник;нет данных
23.03.2018;37;37;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
23.03.2018;34;36;Муниципальное жилье;свыше 5 лет;Холост/Не замужем;плохой;среднее специальное;менее 1 года;сотрудник;отрицательная
23.03.2018;34;38;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;сотрудник;нет данных
23.03.2018;22;48;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
23.03.2018;38;25;Собственник;свыше 5 лет;Другое;плохой;высшее;от 1 года до 3 лет;сотрудник;отрицательная
23.03.2018;52;33;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
23.03.2018;31;56;Собственник;от 1 до 5 лет;Другое;хороший;высшее;менее 1 года;сотрудник;нет данных
23.03.2018;47;32;Собственник;менее 1 года;Разведен(а)/Вдовство;плохой;среднее специальное;свыше 3 лет;сотрудник;нет данных
23.03.2018;26;24;Аренда;от 1 до 5 лет;Другое;плохой;среднее;от 1 года до 3 лет;сотрудник;нет данных
23.03.2018;39;30;Собственник;менее 1 года;Разведен(а)/Вдовство;плохой;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
23.03.2018;14;27;Аренда;от 1 до 5 лет;Женат/замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
23.03.2018;34;41;Собственник;свыше 5 лет;Другое;хороший;высшее;менее 1 года;сотрудник;положительная
23.03.2018;14;41;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;нет данных
23.03.2018;28;40;Собственник;менее 1 года;Холост/Не замужем;плохой;среднее специальное;свыше 3 лет;сотрудник;отрицательная
23.03.2018;23;33;Собственник;менее 1 года;Другое;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
23.03.2018;35;26;Муниципальное жилье;свыше 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
23.03.2018;28;41;Собственник;от 1 до 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
23.03.2018;39;45;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
23.03.2018;12;30;Аренда;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;руководитель среднего звена;нет данных
23.03.2018;34;22;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
23.03.2018;39;50;Собственник;менее 1 года;Женат/замужем;плохой;среднее;менее 1 года;руководитель среднего звена;отрицательная
23.03.2018;51;39;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
23.03.2018;32;42;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
23.03.2018;34;37;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;нет данных
23.03.2018;46;49;Муниципальное жилье;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;отрицательная
23.03.2018;33;24;Собственник;менее 1 года;Другое;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
23.03.2018;51;26;Муниципальное жилье;менее 1 года;Холост/Не замужем;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
23.03.2018;20;29;Собственник;менее 1 года;Женат/замужем;плохой;среднее;менее 1 года;руководитель среднего звена;отрицательная
23.03.2018;33;35;Аренда;менее 1 года;Другое;плохой;высшее;менее 1 года;сотрудник;нет данных
23.03.2018;40;35;Муниципальное жилье;менее 1 года;Холост/Не замужем;плохой;высшее;менее 1 года;сотрудник;нет данных
23.03.2018;54;42;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;сотрудник;отрицательная
23.03.2018;21;42;Собственник;менее 1 года;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;положительная
23.03.2018;13;27;Муниципальное жилье;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;руководитель высшего звена;нет данных
24.03.2018;27;35;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
24.03.2018;24;27;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;нет данных
24.03.2018;32;36;Собственник;менее 1 года;Другое;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
24.03.2018;11;36;Собственник;свыше 5 лет;Другое;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;нет данных
24.03.2018;36;33;Аренда;свыше 5 лет;Холост/Не замужем;плохой;высшее;менее 1 года;сотрудник;нет данных
24.03.2018;24;36;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;менее 1 года;сотрудник;положительная
24.03.2018;15;27;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
24.03.2018;29;42;Собственник;менее 1 года;Холост/Не замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;отрицательная
24.03.2018;53;44;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее;свыше 3 лет;руководитель среднего звена;нет данных
24.03.2018;11;33;Аренда;свыше 5 лет;Другое;хороший;среднее специальное;менее 1 года;руководитель среднего звена;положительная
26.03.2018;49;48;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель высшего звена;нет данных
26.03.2018;32;45;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;положительная
26.03.2018;20;48;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
26.03.2018;26;22;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;руководитель среднего звена;отрицательная
26.03.2018;33;31;Муниципальное жилье;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;руководитель среднего звена;нет данных
26.03.2018;43;29;Аренда;менее 1 года;Холост/Не замужем;плохой;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
26.03.2018;53;42;Собственник;менее 1 года;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
26.03.2018;37;27;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
26.03.2018;12;39;Муниципальное жилье;от 1 до 5 лет;Другое;хороший;среднее;менее 1 года;руководитель среднего звена;нет данных
26.03.2018;20;35;Аренда;свыше 5 лет;Холост/Не замужем;плохой;высшее;менее 1 года;руководитель высшего звена;отрицательная
26.03.2018;21;24;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее;от 1 года до 3 лет;сотрудник;положительная
26.03.2018;27;35;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
26.03.2018;35;34;Аренда;менее 1 года;Холост/Не замужем;плохой;среднее;менее 1 года;руководитель среднего звена;нет данных
26.03.2018;35;45;Муниципальное жилье;менее 1 года;Другое;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
26.03.2018;36;35;Муниципальное жилье;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
26.03.2018;16;32;Собственник;свыше 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
26.03.2018;14;59;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;свыше 3 лет;руководитель среднего звена;положительная
26.03.2018;31;57;Собственник;менее 1 года;Холост/Не замужем;плохой;среднее;менее 1 года;руководитель среднего звена;нет данных
26.03.2018;42;30;Аренда;от 1 до 5 лет;Женат/замужем;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
26.03.2018;36;41;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;свыше 3 лет;сотрудник;нет данных
26.03.2018;15;35;Аренда;от 1 до 5 лет;Женат/замужем;хороший;среднее;свыше 3 лет;сотрудник;нет данных
26.03.2018;38;31;Собственник;от 1 до 5 лет;Холост/Не замужем;плохой;среднее;свыше 3 лет;сотрудник;отрицательная
26.03.2018;49;37;Собственник;менее 1 года;Другое;хороший;среднее специальное;свыше 3 лет;сотрудник;положительная
26.03.2018;19;41;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;положительная
26.03.2018;29;36;Муниципальное жилье;менее 1 года;Разведен(а)/Вдовство;хороший;высшее;свыше 3 лет;сотрудник;нет данных
26.03.2018;23;50;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
26.03.2018;26;34;Собственник;свыше 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;менее 1 года;руководитель высшего звена;нет данных
26.03.2018;27;34;Муниципальное жилье;менее 1 года;Разведен(а)/Вдовство;хороший;высшее;менее 1 года;сотрудник;положительная
26.03.2018;44;26;Собственник;менее 1 года;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;положительная
27.03.2018;40;32;Муниципальное жилье;менее 1 года;Другое;плохой;среднее специальное;свыше 3 лет;руководитель среднего звена;нет данных
27.03.2018;24;37;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;высшее;свыше 3 лет;сотрудник;нет данных
27.03.2018;12;54;Собственник;свыше 5 лет;Другое;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
27.03.2018;15;27;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
27.03.2018;22;27;Муниципальное жилье;менее 1 года;Разведен(а)/Вдовство;плохой;среднее специальное;менее 1 года;сотрудник;отрицательная
27.03.2018;20;52;Собственник;менее 1 года;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
27.03.2018;31;31;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее;свыше 3 лет;руководитель среднего звена;нет данных
27.03.2018;21;57;Собственник;менее 1 года;Другое;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
27.03.2018;35;25;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;высшее;менее 1 года;сотрудник;положительная
27.03.2018;54;27;Муниципальное жилье;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;положительная
27.03.2018;55;34;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее специальное;свыше 3 лет;руководитель высшего звена;нет данных
27.03.2018;18;31;Аренда;свыше 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;нет данных
27.03.2018;38;43;Собственник;от 1 до 5 лет;Женат/замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
27.03.2018;35;35;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;руководитель среднего звена;нет данных
27.03.2018;12;29;Собственник;свыше 5 лет;Холост/Не замужем;хороший;высшее;менее 1 года;сотрудник;нет данных
27.03.2018;26;24;Собственник;менее 1 года;Другое;плохой;среднее;менее 1 года;сотрудник;нет данных
27.03.2018;31;44;Собственник;свыше 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
27.03.2018;12;31;Аренда;менее 1 года;Другое;хороший;высшее;свыше 3 лет;сотрудник;нет данных
27.03.2018;26;44;Собственник;менее 1 года;Разведен(а)/Вдовство;хороший;среднее специальное;менее 1 года;сотрудник;положительная
27.03.2018;14;23;Муниципальное жилье;менее 1 года;Холост/Не замужем;хороший;среднее;менее 1 года;сотрудник;положительная
27.03.2018;29;36;Собственник;свыше 5 лет;Холост/Не замужем;хороший;среднее специальное;менее 1 года;сотрудник;нет данных
27.03.2018;25;23;Собственник;от 1 до 5 лет;Холост/Не замужем;хороший;среднее;менее 1 года;руководитель высшего звена;положительная
27.03.2018;42;35;Муниципальное жилье;менее 1 года;Другое;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
27.03.2018;40;30;Собственник;от 1 до 5 лет;Другое;хороший;среднее специальное;свыше 3 лет;сотрудник;положительная
27.03.2018;35;54;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;положительная
27.03.2018;35;43;Собственник;менее 1 года;Другое;плохой;среднее специальное;менее 1 года;сотрудник;нет данных
27.03.2018;48;36;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее;свыше 3 лет;сотрудник;нет данных
27.03.2018;55;37;Аренда;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
27.03.2018;46;34;Аренда;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;от 1 года до 3 лет;сотрудник;нет данных
27.03.2018;48;53;Собственник;от 1 до 5 лет;Женат/замужем;хороший;среднее специальное;свыше 3 лет;руководитель среднего звена;нет данных
27.03.2018;35;34;Муниципальное жилье;от 1 до 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;положительная
27.03.2018;34;26;Собственник;от 1 до 5 лет;Разведен(а)/Вдовство;хороший;среднее специальное;свыше 3 лет;сотрудник;положительная
27.03.2018;52;28;Собственник;свыше 5 лет;Другое;хороший;среднее специальное;менее 1 года;руководитель среднего звена;нет данных
27.03.2018;37;25;Аренда;менее 1 года;Другое;хороший;высшее;менее 1 года;руководитель среднего звена;отрицательная
27.03.2018;41;35;Собственник;свыше 5 лет;Женат/замужем;хороший;среднее;свыше 3 лет;сотрудник;нет данных
27.03.2018;11;31;Собственник;свыше 5 лет;Другое;хороший;высшее;от 1 года до 3 лет;сотрудник;нет данных
